PostalCode,Borough,Neighborhood,Latitude,Longitude
H3L,Ahuntsic-Cartierville,Ahuntsic,45.5553,-73.67139
H3M,Ahuntsic-Cartierville,Nouveau-Bordeaux,45.53543,-73.68711
H4J,Ahuntsic-Cartierville,Cartierville,45.52899,-73.70293
H2Y,Ahuntsic-Cartierville,Saint-Sulpice,45.50453,-73.55515
H2B,Ahuntsic-Cartierville,Sault-au-Recollet (Ile de la Visitation),45.57523,-73.66274
H1K,Anjou,Anjou,45.60219,-73.55961
H3T,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,45.49853,-73.62716
H4B,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,45.46711,-73.6225
H3W,Cote-des-Neiges-Notre-Dame-de-Grace,Snowdon,45.48899,-73.64058
H8S,Lachine ,Ville Saint-Pierre,45.43297,-73.68113
H8R,LaSalle,LaSalle,45.42868,-73.66282
H8R,Le Plateau-Mont-Royal,The Plateau,45.41651,-73.63859
H2R,Le Plateau-Mont-Royal,Mile End ,45.532,-73.62284
H2X,Le Plateau-Mont-Royal,Milton-Parc,45.51028,-73.57541
H2W,Le Plateau-Mont-Royal,DeLorimier,45.5206,-73.58166
J7Z,Le Plateau-Mont-Royal,Jeanne-Mance,45.77008,-74.00614
H9S,Le Sud-Ouest,Griffintown,45.44179,-73.72147
H3C,Le Sud-Ouest,Pointe-Saint-Charles,45.48189,-73.53897
H3C,Le Sud-Ouest,Saint-Henri,45.49967,-73.55855
J5K,Le Sud-Ouest,Cote-Saint-Paul,45.73856,-74.14056
H4E,Le Sud-Ouest,Ville-Emard,45.45478,-73.58758
H9E,L'lle-Bizard-Sainte-Genevieve,Jacques-Bizard,45.47801,-73.92715
H9H,L'lle-Bizard-Sainte-Genevieve,Sainte-Genevieve,45.4812,-73.86921
H1N,Mercier-Hochelega-Maisonneuve,Hochelaga-Maisonneuve,45.58212,-73.53066
H1H,Montreal-Nord,Montreal-Nord,45.5949,-73.63949
H2V,Outremont,Outremont,45.51413,-73.61097
H9A,Pierrefonds-Roxboro,Pierrefonds,45.49555,-73.84662
H8Y,Pierrefonds-Roxboro,Roxboro,45.50955,-73.80658
H1B,Riviere-des-Prairies-Pointe-aux-Trembles,Pointe-aux-Trembles,45.64259,-73.50625
H1E,Riviere-des-Prairies-Pointe-aux-Trembles,Riviere-des-Prairies,45.65006,-73.57983
H2S,Rosemont-La Petite-Patrie,La Petite-Patrie,45.53022,-73.60305
H1X,Rosemont-La Petite-Patrie,Rosemont,45.55332,-73.56518
H4S,Saint-Laurent,Bois-Franc,45.49846,-73.73893
H1R,Saint-Leonard,Citta Italiana,45.58624,-73.59601
H4G,Verdun,Nuns' Island,45.45928,-73.57174
H2L,Ville-Marie,Downtown Montreal,45.51241,-73.55469
H3C,Ville-Marie,Cite du Multimedia,45.49949,-73.55789
H2Z,Ville-Marie,Quartier International de Montreal ,45.50382,-73.56167
H2X,Ville-Marie,Quartier Latin,45.5157,-73.56531
H2X,Ville-Marie,Quartier des spectacles,45.50957,-73.56439
H3H,Ville-Marie,Shaughnessy Village,45.49103,-73.58092
H1Z,Villeray-Saint-Michel-Parc-Extension,Saint-Michel ,45.56437,-73.61102
H2R,Villeray-Saint-Michel-Parc-Extension,Villeray,45.53399,-73.62454
